Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Never-married,4065,0.9872,0.9184,0.0376,0.0440,0.2179,0.0033,0.7821,0.9967
Married-civ-spouse,5567,0.9319,0.9310,0.4379,0.4489,0.0880,0.0518,0.9120,0.9482
Divorced,1682,0.9792,0.9354,0.0809,0.0957,0.1863,0.0033,0.8137,0.9967
Separated,373,0.9705,0.8842,0.0590,0.0777,0.3103,0.0058,0.6897,0.9942
Married-spouse-absent,152,0.9408,0.8171,0.0592,0.1184,0.5000,0.0000,0.5000,1.0000
Widowed,359,0.9554,0.8341,0.0585,0.0864,0.4194,0.0091,0.5806,0.9909
Married-AF-spouse,13,0.6923,0.5667,0.0769,0.3846,0.8000,0.0000,0.2000,1.0000
