Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Female,4057,0.9672,0.9125,0.0976,0.1117,0.2097,0.0105,0.7903,0.9895
Male,8154,0.9543,0.9453,0.2924,0.3028,0.0928,0.0253,0.9072,0.9747
