Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Never-married,4065,0.9700,0.7540,0.0189,0.0440,0.6257,0.0026,0.3743,0.9974
Married-civ-spouse,5567,0.7381,0.7318,0.3982,0.4489,0.3481,0.1917,0.6519,0.8083
Divorced,1682,0.9316,0.7410,0.0464,0.0957,0.6149,0.0105,0.3851,0.9895
Separated,373,0.9437,0.7517,0.0429,0.0777,0.5862,0.0116,0.4138,0.9884
Married-spouse-absent,152,0.9342,0.7897,0.0526,0.1184,0.5556,0.0000,0.4444,1.0000
Widowed,359,0.9359,0.7025,0.0279,0.0864,0.7097,0.0030,0.2903,0.9970
Married-AF-spouse,13,0.6154,0.3810,0.0000,0.3846,1.0000,0.0000,0.0000,1.0000
