Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Own-child,1904,0.9921,0.7707,0.0047,0.0126,0.6250,0.0000,0.3750,1.0000
Husband,4916,0.7319,0.7263,0.4038,0.4530,0.3502,0.2001,0.6498,0.7999
Not-in-family,3148,0.9295,0.7354,0.0451,0.0985,0.6290,0.0095,0.3710,0.9905
Unmarried,1311,0.9519,0.7087,0.0214,0.0648,0.7059,0.0024,0.2941,0.9976
Wife,580,0.7155,0.7121,0.4397,0.4517,0.3282,0.2484,0.6718,0.7516
Other-relative,352,0.9688,0.6685,0.0085,0.0398,0.7857,0.0000,0.2143,1.0000
