Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Never-married,4065,0.9702,0.7551,0.0187,0.0440,0.6257,0.0023,0.3743,0.9977
Married-civ-spouse,5567,0.7370,0.7307,0.3975,0.4489,0.3501,0.1920,0.6499,0.8080
Divorced,1682,0.9310,0.7357,0.0446,0.0957,0.6273,0.0099,0.3727,0.9901
Separated,373,0.9491,0.7656,0.0375,0.0777,0.5862,0.0058,0.4138,0.9942
Married-spouse-absent,152,0.9276,0.7764,0.0592,0.1184,0.5556,0.0075,0.4444,0.9925
Widowed,359,0.9387,0.7088,0.0251,0.0864,0.7097,0.0000,0.2903,1.0000
Married-AF-spouse,13,0.7692,0.7068,0.1538,0.3846,0.6000,0.0000,0.4000,1.0000
