Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Married-civ-spouse,10737,0.8528,0.8166,0.7305,0.7143,0.0917,0.2859,0.9083,0.7141
Divorced,2043,0.9310,0.9041,0.2149,0.2555,0.2146,0.0191,0.7854,0.9809
Never-married,4176,0.9650,0.8327,0.0412,0.0694,0.4552,0.0036,0.5448,0.9964
Married-spouse-absent,519,0.9403,0.9203,0.7592,0.7418,0.0286,0.1493,0.9714,0.8507
Widowed,357,0.9356,0.7024,0.0336,0.0812,0.6897,0.0091,0.3103,0.9909
Separated,408,0.9461,0.8862,0.1176,0.1569,0.2969,0.0087,0.7031,0.9913
Married-AF-spouse,338,0.9882,0.8858,0.9704,0.9763,0.0091,0.1250,0.9909,0.8750
