Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Late-Middle + Male,3313,0.8292,0.8025,0.6906,0.6767,0.1160,0.2857,0.8840,0.7143
Early-Middle + Male,6177,0.8745,0.8553,0.6885,0.6761,0.0836,0.2129,0.9164,0.7871
Early-Middle + Female,2459,0.9317,0.9314,0.5303,0.5303,0.0644,0.0727,0.9356,0.9273
Young + Female,1629,0.9724,0.8038,0.0276,0.0454,0.5000,0.0051,0.5000,0.9949
Late-Middle + Female,1186,0.9182,0.9175,0.4418,0.4629,0.1111,0.0565,0.8889,0.9435
Senior + Male,941,0.8587,0.8575,0.5313,0.5579,0.1505,0.1298,0.8495,0.8702
Young + Male,2434,0.9355,0.7837,0.0649,0.0974,0.4979,0.0178,0.5021,0.9822
Senior + Female,439,0.9499,0.9478,0.3872,0.4146,0.0934,0.0195,0.9066,0.9805
