Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Husband,9925,0.8573,0.8162,0.7438,0.7291,0.0878,0.2904,0.9122,0.7096
Wife,668,0.7695,0.7686,0.5359,0.5240,0.2086,0.2547,0.7914,0.7453
Other-relative,655,0.9527,0.9525,0.4611,0.4840,0.0726,0.0237,0.9274,0.9763
Unmarried,1521,0.9645,0.9412,0.1769,0.1940,0.1356,0.0114,0.8644,0.9886
Not-in-family,3615,0.9225,0.8765,0.1746,0.2149,0.2741,0.0236,0.7259,0.9764
Own-child,2194,0.9872,0.9735,0.1367,0.1431,0.0669,0.0037,0.9331,0.9963
