Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Married-civ-spouse,10737,0.8525,0.8163,0.7295,0.7143,0.0926,0.2849,0.9074,0.7151
Divorced,2043,0.9305,0.9036,0.2163,0.2555,0.2126,0.0204,0.7874,0.9796
Never-married,4176,0.9638,0.8301,0.0433,0.0694,0.4483,0.0054,0.5517,0.9946
Married-spouse-absent,519,0.9326,0.9090,0.7669,0.7418,0.0286,0.1791,0.9714,0.8209
Widowed,357,0.9356,0.7024,0.0336,0.0812,0.6897,0.0091,0.3103,0.9909
Separated,408,0.9436,0.8836,0.1250,0.1569,0.2812,0.0145,0.7188,0.9855
Married-AF-spouse,338,0.9852,0.8771,0.9615,0.9763,0.0152,0.0000,0.9848,1.0000
