Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Early-Middle + Female,1396,0.8875,0.7830,0.1332,0.1726,0.4398,0.0442,0.5602,0.9558
Early-Middle + Male,3186,0.7753,0.7511,0.3167,0.3719,0.3764,0.1349,0.6236,0.8651
Senior + Male,609,0.8062,0.7584,0.2381,0.3169,0.4301,0.0841,0.5699,0.9159
Young + Male,2376,0.9386,0.7133,0.0383,0.0753,0.6536,0.0132,0.3464,0.9868
Late-Middle + Female,766,0.8956,0.7757,0.1005,0.1684,0.5116,0.0220,0.4884,0.9780
Young + Female,1614,0.9715,0.7189,0.0155,0.0366,0.6780,0.0039,0.3220,0.9961
Senior + Female,281,0.9573,0.8307,0.0498,0.0854,0.4583,0.0039,0.5417,0.9961
Late-Middle + Male,1983,0.7433,0.7393,0.4160,0.4599,0.3268,0.1970,0.6732,0.8030
