Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Never-married,4065,0.9680,0.7338,0.0180,0.0440,0.6592,0.0031,0.3408,0.9969
Married-civ-spouse,5567,0.7350,0.7285,0.3955,0.4489,0.3545,0.1920,0.6455,0.8080
Divorced,1682,0.9287,0.7200,0.0410,0.0957,0.6584,0.0092,0.3416,0.9908
Separated,373,0.9437,0.7290,0.0322,0.0777,0.6552,0.0058,0.3448,0.9942
Married-spouse-absent,152,0.9276,0.7603,0.0461,0.1184,0.6111,0.0000,0.3889,1.0000
Widowed,359,0.9387,0.7088,0.0251,0.0864,0.7097,0.0000,0.2903,1.0000
Married-AF-spouse,13,0.6154,0.3810,0.0000,0.3846,1.0000,0.0000,0.0000,1.0000
