Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Never-married,4065,0.9688,0.7369,0.0172,0.0440,0.6592,0.0023,0.3408,0.9977
Married-civ-spouse,5567,0.7397,0.7334,0.3973,0.4489,0.3473,0.1894,0.6527,0.8106
Divorced,1682,0.9287,0.7106,0.0363,0.0957,0.6832,0.0066,0.3168,0.9934
Separated,373,0.9464,0.7477,0.0349,0.0777,0.6207,0.0058,0.3793,0.9942
Married-spouse-absent,152,0.9276,0.7603,0.0461,0.1184,0.6111,0.0000,0.3889,1.0000
Widowed,359,0.9331,0.6823,0.0251,0.0864,0.7419,0.0030,0.2581,0.9970
Married-AF-spouse,13,0.6923,0.5667,0.0769,0.3846,0.8000,0.0000,0.2000,1.0000
