Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Middle-Aged + Male,5968,0.8686,0.8329,0.7423,0.7202,0.0758,0.2743,0.9242,0.7257
Senior + Female,1208,0.9346,0.9345,0.4710,0.4901,0.0861,0.0455,0.9139,0.9545
Young + Female,2227,0.9582,0.8839,0.0894,0.1105,0.2846,0.0116,0.7154,0.9884
Young + Male,3785,0.8933,0.8322,0.1810,0.2159,0.3280,0.0458,0.6720,0.9542
Middle-Aged + Female,2277,0.9319,0.9311,0.5529,0.5578,0.0654,0.0715,0.9346,0.9285
Senior + Male,3113,0.8542,0.8370,0.6605,0.6637,0.1123,0.2120,0.8877,0.7880
