Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Early-Middle,4582,0.8123,0.7714,0.2658,0.3112,0.3745,0.1033,0.6255,0.8967
Senior,890,0.8461,0.7704,0.1820,0.2438,0.4424,0.0609,0.5576,0.9391
Young,3990,0.9526,0.7329,0.0333,0.0596,0.6176,0.0112,0.3824,0.9888
Late-Middle,2749,0.7788,0.7584,0.3307,0.3787,0.3554,0.1393,0.6446,0.8607
