Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Never-married,4065,0.9690,0.7459,0.0189,0.0440,0.6369,0.0031,0.3631,0.9969
Married-civ-spouse,5567,0.7320,0.7259,0.4026,0.4489,0.3501,0.2011,0.6499,0.7989
Divorced,1682,0.9287,0.7200,0.0410,0.0957,0.6584,0.0092,0.3416,0.9908
Separated,373,0.9464,0.7585,0.0402,0.0777,0.5862,0.0087,0.4138,0.9913
Married-spouse-absent,152,0.9276,0.7764,0.0592,0.1184,0.5556,0.0075,0.4444,0.9925
Widowed,359,0.9387,0.7088,0.0251,0.0864,0.7097,0.0000,0.2903,1.0000
Married-AF-spouse,13,0.7692,0.7068,0.1538,0.3846,0.6000,0.0000,0.4000,1.0000
