Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Middle-Aged + Female,1242,0.8961,0.8162,0.1514,0.1892,0.3745,0.0407,0.6255,0.9593
Young + Male,3466,0.8987,0.7590,0.0949,0.1437,0.5221,0.0307,0.4779,0.9693
Senior + Male,1756,0.7665,0.7519,0.3536,0.4038,0.3512,0.1538,0.6488,0.8462
Young + Female,2113,0.9550,0.7672,0.0393,0.0625,0.5455,0.0116,0.4545,0.9884
Middle-Aged + Male,2932,0.7538,0.7460,0.3950,0.4304,0.3273,0.1850,0.6727,0.8150
Senior + Female,702,0.9117,0.7571,0.0798,0.1225,0.5349,0.0260,0.4651,0.9740
