Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Young,93,0.7312,0.6951,0.7097,0.6344,0.1525,0.4706,0.8475,0.5294
Early-Middle,83,0.7831,0.5896,0.9036,0.7831,0.0615,0.7778,0.9385,0.2222
Late-Career,17,0.8824,0.7976,0.8824,0.7647,0.0000,0.5000,1.0000,0.5000
Mid-Career,57,0.7368,0.6677,0.7895,0.6667,0.1053,0.5789,0.8947,0.4211
