Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Early-Middle + Female,1396,0.8918,0.7936,0.1375,0.1726,0.4149,0.0442,0.5851,0.9558
Early-Middle + Male,3186,0.7756,0.7516,0.3176,0.3719,0.3747,0.1354,0.6253,0.8646
Senior + Male,609,0.8095,0.7650,0.2479,0.3169,0.4093,0.0889,0.5907,0.9111
Young + Male,2376,0.9394,0.7304,0.0442,0.0753,0.6089,0.0159,0.3911,0.9841
Late-Middle + Female,766,0.8943,0.7826,0.1149,0.1684,0.4729,0.0314,0.5271,0.9686
Young + Female,1614,0.9703,0.7257,0.0192,0.0366,0.6441,0.0064,0.3559,0.9936
Senior + Female,281,0.9431,0.7847,0.0569,0.0854,0.5000,0.0156,0.5000,0.9844
Late-Middle + Male,1983,0.7322,0.7283,0.4201,0.4599,0.3344,0.2110,0.6656,0.7890
